"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"true","fullscreen","0","4543","0.0-0.0","","","","","","","","","","","","","",""
"","html-keyboard-response","1","25659","0.0-1.0","21114.125000080094","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify""><br>After you have watched the video, you will now complete a memory task.<br><br>On each trial, you need to answer three separate questions. The <strong>first question</strong> is <i>'What came before this object?'</i> for the object presented at the top of the screen. This is relative to the sequence of objects you saw in the video. You choose the correct image from the three alternatives  presented to you by pressing <strong>1, 2 or 3</strong> from top of the keyboard.<br>For the <strong>second question</strong>, you need to decide in which type of room the object was in and for the <strong>third question</strong> on which table the object on was irrespective of the room type. Please press the respective numbers which are used to label the room type/postions. <br><br>Press <strong>space</strong> to begin.","32","","","","","","","","","","",""
"","html-keyboard-response","2","28162","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","3","34462","0.0-2.0-1.0","6298.595000058413","<img src= images/stimuli/7.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/19.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/14.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/6.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","1","7","images/stimuli/19.png","images/stimuli/14.png","images/stimuli/6.png","1","What came before this object?","41","1","within-no-walls"
"","html-keyboard-response","4","34964","0.0-2.0-2.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","5","44034","0.0-2.0-3.0","9069.239999866113","<img src= images/stimuli/7.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","1","","41","",""
"","html-keyboard-response","6","44535","0.0-2.0-4.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","7","47868","0.0-2.0-5.0","3331.2800000421703","<img src= images/stimuli/7.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","3","","","","","1","","","",""
"","html-keyboard-response","8","48370","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","9","57684","0.0-2.0-1.1","9313.055000035092","<img src= images/stimuli/29.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/87.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/79.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/63.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","29","images/stimuli/79.png","images/stimuli/63.png","images/stimuli/87.png","1","What came before this object?","21","0","across"
