"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","0","505","0.0-0.0-0.0","","","","","","","","","",""
"7657.540000043809","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/61.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/46.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/73.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/64.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","1","8167","0.0-0.0-1.0","1","61","images/stimuli/46.png","images/stimuli/73.png","images/stimuli/64.png","4","Which of the objects below came next?","10","0","across"
"null","","null","blank","html-keyboard-response","2","8670","0.0-0.0-2.0","","","","","","","","","",""
"13997.609999962151","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/61.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","3","22669","0.0-0.0-3.0","1","","","","","4","","10","",""
"null","","null","blank","html-keyboard-response","4","23172","0.0-0.0-4.0","","","","","","","","","",""
"3102.4349997751415","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/61.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","5","26277","0.0-0.0-5.0","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","6","26781","0.0-0.0-0.1","","","","","","","","","",""
"8351.360000204295","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/37.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/17.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/79.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/63.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","7","35134","0.0-0.0-1.1","3","37","images/stimuli/63.png","images/stimuli/17.png","images/stimuli/79.png","4","Which of the objects below came next?","18","1","within-no-walls"
"null","","null","blank","html-keyboard-response","8","35635","0.0-0.0-2.1","","","","","","","","","",""
"5015.254999976605","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/37.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","9","40652","0.0-0.0-3.1","1","","","","","4","","18","",""
"null","","null","blank","html-keyboard-response","10","41153","0.0-0.0-4.1","","","","","","","","","",""
"3536.629999987781","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/37.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","11","44692","0.0-0.0-5.1","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","12","45193","0.0-0.0-0.2","","","","","","","","","",""
"8763.594999909401","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/77.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/22.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/73.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/70.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","13","53959","0.0-0.0-1.2","1","77","images/stimuli/22.png","images/stimuli/70.png","images/stimuli/73.png","4","Which of the objects below came next?","6","0","across"
"null","","null","blank","html-keyboard-response","14","54460","0.0-0.0-2.2","","","","","","","","","",""
"11223.654999863356","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/77.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","15","65685","0.0-0.0-3.2","1","","","","","4","","6","",""
"null","","null","blank","html-keyboard-response","16","66186","0.0-0.0-4.2","","","","","","","","","",""
"9826.224999967963","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/77.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","17","76013","0.0-0.0-5.2","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","18","76515","0.0-0.0-0.3","","","","","","","","","",""
"17023.684999905527","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/86.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/52.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/65.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/37.png' style='width:100%'>3</p></div></div>","50","temporalOrder","html-keyboard-response","19","93541","0.0-0.0-1.3","2","86","images/stimuli/65.png","images/stimuli/52.png","images/stimuli/37.png","4","Which of the objects below came next?","15","0","across"
"null","","null","blank","html-keyboard-response","20","94042","0.0-0.0-2.3","","","","","","","","","",""
"8823.429999873042","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/86.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","21","102869","0.0-0.0-3.3","2","","","","","4","","15","",""
"null","","null","blank","html-keyboard-response","22","103370","0.0-0.0-4.3","","","","","","","","","",""
"3848.675000015646","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/86.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","23","107221","0.0-0.0-5.3","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","24","107722","0.0-0.0-0.4","","","","","","","","","",""
"7904.124999884516","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/65.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/17.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/30.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/63.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","25","115629","0.0-0.0-1.4","1","65","images/stimuli/17.png","images/stimuli/30.png","images/stimuli/63.png","4","Which of the objects below came next?","16","1","within-no-walls"
"null","","null","blank","html-keyboard-response","26","116131","0.0-0.0-2.4","","","","","","","","","",""
"9639.489999972284","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/65.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","27","125774","0.0-0.0-3.4","1","","","","","4","","16","",""
"null","","null","blank","html-keyboard-response","28","126275","0.0-0.0-4.4","","","","","","","","","",""
"1374.83000010252","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/65.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","29","127652","0.0-0.0-5.4","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","30","128154","0.0-0.0-0.5","","","","","","","","","",""
"11521.625000052154","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/32.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/52.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/8.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/43.png' style='width:100%'>3</p></div></div>","50","temporalOrder","html-keyboard-response","31","139677","0.0-0.0-1.5","3","32","images/stimuli/43.png","images/stimuli/8.png","images/stimuli/52.png","4","Which of the objects below came next?","11","0","across"
"null","","null","blank","html-keyboard-response","32","140177","0.0-0.0-2.5","","","","","","","","","",""
"4968.09499990195","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/32.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","33","145148","0.0-0.0-3.5","2","","","","","4","","11","",""
"null","","null","blank","html-keyboard-response","34","145649","0.0-0.0-4.5","","","","","","","","","",""
"1907.395000103861","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/32.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","50","tableNum","html-keyboard-response","35","147557","0.0-0.0-5.5","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","36","148060","0.0-0.0-0.6","","","","","","","","","",""
"23984.22500025481","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/22.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/69.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/0.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/84.png' style='width:100%'>3</p></div></div>","49","temporalOrder","html-keyboard-response","37","172046","0.0-0.0-1.6","3","22","images/stimuli/84.png","images/stimuli/69.png","images/stimuli/0.png","4","Which of the objects below came next?","7","1","within-walls"
"null","","null","blank","html-keyboard-response","38","172547","0.0-0.0-2.6","","","","","","","","","",""
"2191.1499998532236","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/22.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","39","174741","0.0-0.0-3.6","2","","","","","4","","7","",""
"null","","null","blank","html-keyboard-response","40","175243","0.0-0.0-4.6","","","","","","","","","",""
"1695.8849998191","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/22.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","41","176940","0.0-0.0-5.6","2","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","42","177441","0.0-0.0-0.7","","","","","","","","","",""
"6755.909999832511","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/31.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/56.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/1.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/20.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","43","184198","0.0-0.0-1.7","2","31","images/stimuli/1.png","images/stimuli/56.png","images/stimuli/20.png","4","Which of the objects below came next?","26","0","across"
"null","","null","blank","html-keyboard-response","44","184700","0.0-0.0-2.7","","","","","","","","","",""
