"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"535906.9299999974","<p>Thank you for participating in this experiment.</p><p>At first, you will watch a video, in which you see a series of objects in a series of rooms.</p><p>Try to remember that sequence and try to remember the rooms an object was in. </p><p>To start the experiment, please watch the following video: <a href='https://youtu.be/PKNqyqvctJg' target='_blank'>https://youtu.be/PKNqyqvctJg</a><p>Please enable the full screen mode while watching the video and use the highest resolution.</p><p>Press <strong>space</strong> to continue after watching the video.</p>","32","html-keyboard-response","0","535925","0.0-0.0","","","",""
"","","","fullscreen","1","542301","0.0-1.0","true","","",""
"24415.07499999716","<p>After you have watched the video, you will now complete a memory task.</p><br><br><p>On each trial, you need to answer two questions. For both questions you have to</p><p>to choose the correct image from three alternatives by pressing 1, 2 or 3 from top of the keyboard.</p><p>For the first question, you need to decide which object was either before or after the object presented</p><p>at the top. This is relative to the sequence of objects you saw in the video. For the second question, </p><p>you need to decide in which room the object was. In order to do this, you need to base</p><p>this on the <strong>wall colour</strong> and the <strong>carpet</strong>.</p><br><p>Press <strong>space</strong> to begin.</p>","32","html-keyboard-response","2","566718","0.0-2.0","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","569227","0.0-3.0-0.0","","fixation","",""
"6416.234999996959","<img src= stimuli/temporalOrder/61.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/8.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/36.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/10.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","4","575645","0.0-3.0-1.0","","temporalOrder","1","61"
"null","","null","html-keyboard-response","5","576146","0.0-3.0-2.0","","blank","",""
"7054.344999996829","<img src= stimuli/temporalOrder/61.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/28.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/10.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/33.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","6","583202","0.0-3.0-3.0","","contextMemory","2","61"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","583705","0.0-3.0-0.1","","fixation","",""
"10594.110000005458","<img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/70.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","8","594301","0.0-3.0-1.1","","temporalOrder","3","87"
"null","","null","html-keyboard-response","9","594805","0.0-3.0-2.1","","blank","",""
"5499.259999996866","<img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","10","600306","0.0-3.0-3.1","","contextMemory","1","87"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","600810","0.0-3.0-0.2","","fixation","",""
"6611.290000000736","<img src= stimuli/temporalOrder/50.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/56.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/41.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","12","607423","0.0-3.0-1.2","","temporalOrder","2","50"
"null","","null","html-keyboard-response","13","607924","0.0-3.0-2.2","","blank","",""
"3216.745000012452","<img src= stimuli/temporalOrder/50.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/5.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","14","611142","0.0-3.0-3.2","","contextMemory","1","50"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","611646","0.0-3.0-0.3","","fixation","",""
"4661.779999994906","<img src= stimuli/temporalOrder/58.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/39.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/0.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/68.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","16","616309","0.0-3.0-1.3","","temporalOrder","1","58"
"null","","null","html-keyboard-response","17","616810","0.0-3.0-2.3","","blank","",""
"3026.7949999979464","<img src= stimuli/temporalOrder/58.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/9.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","18","619838","0.0-3.0-3.3","","contextMemory","2","58"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","620342","0.0-3.0-0.4","","fixation","",""
"14652.49500000209","<img src= stimuli/temporalOrder/31.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/1.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/26.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","20","634996","0.0-3.0-1.4","","temporalOrder","1","31"
"null","","null","html-keyboard-response","21","635500","0.0-3.0-2.4","","blank","",""
"2485.6349999899976","<img src= stimuli/temporalOrder/31.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/6.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/26.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","22","637987","0.0-3.0-3.4","","contextMemory","3","31"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","638489","0.0-3.0-0.5","","fixation","",""
"5693.879999991623","<img src= stimuli/temporalOrder/84.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/65.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/6.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","24","644184","0.0-3.0-1.5","","temporalOrder","3","84"
"null","","null","html-keyboard-response","25","644685","0.0-3.0-2.5","","blank","",""
"2931.539999990491","<img src= stimuli/temporalOrder/84.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/7.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","26","647618","0.0-3.0-3.5","","contextMemory","2","84"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","648120","0.0-3.0-0.6","","fixation","",""
"4620.649999997113","<img src= stimuli/temporalOrder/82.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/24.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/62.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","28","652741","0.0-3.0-1.6","","temporalOrder","3","82"
"null","","null","html-keyboard-response","29","653246","0.0-3.0-2.6","","blank","",""
"2655.5699999880744","<img src= stimuli/temporalOrder/82.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/33.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/31.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","30","655903","0.0-3.0-3.6","","contextMemory","2","82"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","656405","0.0-3.0-0.7","","fixation","",""
"2133.975000004284","<img src= stimuli/temporalOrder/13.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/68.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/58.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","32","658540","0.0-3.0-1.7","","temporalOrder","1","13"
"null","","null","html-keyboard-response","33","659041","0.0-3.0-2.7","","blank","",""
