"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","fpil1","foil2","condition","question","roomNum","sameRoom","context"
"true","fullscreen","0","6074","0.0-0.0","","","","","","","","","","","","","",""
"","html-keyboard-response","1","40527","0.0-1.0","34447","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify""><br>After you have watched the video, you will now complete a memory task.<br><br>On each trial, you need to answer three separate questions. The <strong>first question</strong> is <i>'What came before this object?'</i> for the object presented at the top of the screen. This is relative to the sequence of objects you saw in the video. You choose the correct image from the three alternatives  presented to you by pressing <strong>1, 2 or 3</strong> from top of the keyboard.<br>For the <strong>second question</strong>, you need to decide in which type of room the object was in and for the <strong>third question</strong> on which table the object on was irrespective of the room type. Please press the respective numbers which are used to label the room type/postions. <br><br>Press <strong>space</strong> to begin.","32","","","","","","","","","","",""
"","html-keyboard-response","2","43030","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","3","48140","0.0-2.0-1.0","5101","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/31.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/48.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/18.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","2","20","images/stimuli/48.png","images/stimuli/31.png","images/stimuli/18.png","2","What came before this object?","29","","within-walls"
"","html-keyboard-response","4","48641","0.0-2.0-2.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","5","54279","0.0-2.0-3.0","5635","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","6","54780","0.0-2.0-4.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","7","55836","0.0-2.0-5.0","1054","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","8","56338","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","9","62376","0.0-2.0-1.1","6036","<img src= images/stimuli/43.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/53.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/32.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/0.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","2","43","images/stimuli/32.png","images/stimuli/0.png","images/stimuli/53.png","2","What came before this object?","12","","within-no-walls"
"","html-keyboard-response","10","62878","0.0-2.0-2.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","11","66407","0.0-2.0-3.1","3526","<img src= images/stimuli/43.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","12","66908","0.0-2.0-4.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","13","67427","0.0-2.0-5.1","517","<img src= images/stimuli/43.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","14","67930","0.0-2.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
