"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"12379","<p>Thank you for participating in this experiment.</p><p>At first, you will watch a video, in which you see a series of objects in a series of rooms.</p><p>Try to remember that sequence and try to remember the rooms an object was in. </p><p>To start the experiment, please watch the following video: <a href='https://youtu.be/PKNqyqvctJg'>https://youtu.be/PKNqyqvctJg</a><p>Please enable the full screen mode while watching the video and use the highest resolution.</p><p>Press <strong>space</strong> to continue after watching the video.</p>","32","html-keyboard-response","0","12383","0.0-0.0","","","",""
"","","","fullscreen","1","23122","0.0-1.0","true","","",""
"49356","<p>After you have watched the video, you will now complete a memory task.</p><br><br><p>On each trial, you need to answer two questions. For both questions you have to</p><p>to choose the correct image from three alternatives by pressing 1, 2 or 3 from top of the keyboard.</p><p>For the first question, you need to decide which object was either before or after the object presented</p><p>at the top. This is relative to the sequence of objects you saw in the video. For the second question, </p><p>you need to decide in which room the object was. In order to do this, you need to base</p><p>this on the <strong>wall colour</strong> and the <strong>carpet</strong>.</p><br><p>Press <strong>space</strong> to begin.</p>","32","html-keyboard-response","2","72482","0.0-2.0","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","74988","0.0-3.0-0.0","","fixation","",""
"6400","<img src= stimuli/temporalOrder/9.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/7.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","4","81393","0.0-3.0-1.0","","temporalOrder","2","9"
"null","","null","html-keyboard-response","5","81894","0.0-3.0-2.0","","blank","",""
"4416","<img src= stimuli/temporalOrder/9.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/15.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/26.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","6","86313","0.0-3.0-3.0","","contextMemory","3","9"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","86822","0.0-3.0-0.1","","fixation","",""
"9794","<img src= stimuli/temporalOrder/54.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/81.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/58.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/14.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","8","96618","0.0-3.0-1.1","","temporalOrder","3","54"
"null","","null","html-keyboard-response","9","97129","0.0-3.0-2.1","","blank","",""
"6924","<img src= stimuli/temporalOrder/54.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/5.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/38.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","10","104055","0.0-3.0-3.1","","contextMemory","2","54"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","104566","0.0-3.0-0.2","","fixation","",""
"4345","<img src= stimuli/temporalOrder/78.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/61.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/29.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","12","108913","0.0-3.0-1.2","","temporalOrder","2","78"
"null","","null","html-keyboard-response","13","109414","0.0-3.0-2.2","","blank","",""
"6694","<img src= stimuli/temporalOrder/78.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/44.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","14","116113","0.0-3.0-3.2","","contextMemory","1","78"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","116613","0.0-3.0-0.3","","fixation","",""
"14806","<img src= stimuli/temporalOrder/23.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/16.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/47.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/20.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","16","131423","0.0-3.0-1.3","","temporalOrder","1","23"
"null","","null","html-keyboard-response","17","131923","0.0-3.0-2.3","","blank","",""
"7856","<img src= stimuli/temporalOrder/23.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/41.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/18.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/36.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","18","139783","0.0-3.0-3.3","","contextMemory","3","23"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","140295","0.0-3.0-0.4","","fixation","",""
"6431","<img src= stimuli/temporalOrder/79.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/51.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/75.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","20","146728","0.0-3.0-1.4","","temporalOrder","1","79"
"null","","null","html-keyboard-response","21","147236","0.0-3.0-2.4","","blank","",""
"4535","<img src= stimuli/temporalOrder/79.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/30.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/20.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","22","151775","0.0-3.0-3.4","","contextMemory","3","79"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","152281","0.0-3.0-0.5","","fixation","",""
"9397","<img src= stimuli/temporalOrder/81.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/9.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/56.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/69.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","24","161682","0.0-3.0-1.5","","temporalOrder","3","81"
"null","","null","html-keyboard-response","25","162184","0.0-3.0-2.5","","blank","",""
"3564","<img src= stimuli/temporalOrder/81.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/9.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/6.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","26","165751","0.0-3.0-3.5","","contextMemory","3","81"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","166261","0.0-3.0-0.6","","fixation","",""
"8152","<img src= stimuli/temporalOrder/55.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/45.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/62.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","28","174413","0.0-3.0-1.6","","temporalOrder","1","55"
"null","","null","html-keyboard-response","29","174913","0.0-3.0-2.6","","blank","",""
"6982","<img src= stimuli/temporalOrder/55.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/40.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","30","181896","0.0-3.0-3.6","","contextMemory","1","55"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","182402","0.0-3.0-0.7","","fixation","",""
"19932","<img src= stimuli/temporalOrder/39.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/19.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/4.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/59.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","32","202338","0.0-3.0-1.7","","temporalOrder","2","39"
"null","","null","html-keyboard-response","33","202842","0.0-3.0-2.7","","blank","",""
"2371","<img src= stimuli/temporalOrder/39.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/18.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","34","205215","0.0-3.0-3.7","","contextMemory","1","39"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","205732","0.0-3.0-0.8","","fixation","",""
"17889","<img src= stimuli/temporalOrder/64.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/29.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/83.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/32.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","36","223624","0.0-3.0-1.8","","temporalOrder","2","64"
"null","","null","html-keyboard-response","37","224129","0.0-3.0-2.8","","blank","",""
"964","<img src= stimuli/temporalOrder/64.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/29.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/28.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","38","225094","0.0-3.0-3.8","","contextMemory","1","64"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","225605","0.0-3.0-0.9","","fixation","",""
"20135","<img src= stimuli/temporalOrder/83.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/86.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/77.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","40","245743","0.0-3.0-1.9","","temporalOrder","3","83"
"null","","null","html-keyboard-response","41","246251","0.0-3.0-2.9","","blank","",""
"1386","<img src= stimuli/temporalOrder/83.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/12.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/36.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/6.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","42","247640","0.0-3.0-3.9","","contextMemory","1","83"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","248146","0.0-3.0-0.10","","fixation","",""
"3754","<img src= stimuli/temporalOrder/49.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/31.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/53.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","44","251903","0.0-3.0-1.10","","temporalOrder","1","49"
"null","","null","html-keyboard-response","45","252405","0.0-3.0-2.10","","blank","",""
"2471","<img src= stimuli/temporalOrder/49.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/10.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/26.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","46","254878","0.0-3.0-3.10","","contextMemory","3","49"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","255380","0.0-3.0-0.11","","fixation","",""
"8832","<img src= stimuli/temporalOrder/0.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/77.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/83.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/8.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","48","264215","0.0-3.0-1.11","","temporalOrder","3","0"
"null","","null","html-keyboard-response","49","264715","0.0-3.0-2.11","","blank","",""
"723","<img src= stimuli/temporalOrder/0.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/9.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","50","265439","0.0-3.0-3.11","","contextMemory","3","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","265947","0.0-3.0-0.12","","fixation","",""
"9185","<img src= stimuli/temporalOrder/44.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/71.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","52","275135","0.0-3.0-1.12","","temporalOrder","3","44"
"null","","null","html-keyboard-response","53","275642","0.0-3.0-2.12","","blank","",""
"1577","<img src= stimuli/temporalOrder/44.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/41.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/4.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","54","277221","0.0-3.0-3.12","","contextMemory","3","44"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","277736","0.0-3.0-0.13","","fixation","",""
"13381","<img src= stimuli/temporalOrder/38.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/52.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/69.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/42.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","56","291119","0.0-3.0-1.13","","temporalOrder","3","38"
"null","","null","html-keyboard-response","57","291625","0.0-3.0-2.13","","blank","",""
"1462","<img src= stimuli/temporalOrder/38.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/20.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/43.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","58","293087","0.0-3.0-3.13","","contextMemory","3","38"
