status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
APPROVED,24:35.2,28:06.2,3811.018,26,134,1,100,37:19.0,61C37BA5,Poland,Poland,Part-Time,Polish,Poland,Male,Yes
APPROVED,25:04.5,54:11.5,1747.024,30,59,1,100,55:36.7,61C37BA5,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
APPROVED,37:21.7,47:08.9,587.214,25,200,2,99,23:12.3,NOCODE,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
APPROVED,09:24.9,12:57.1,212.147,30,68,0,100,23:17.8,NOCODE,United States,United States,Full-Time,English,Trinidad and Tobago,Female,Yes
APPROVED,27:33.0,53:39.2,1566.2,34,568,5,99,34:49.0,61C37BA5,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
APPROVED,53:09.5,55:58.2,168.624,58,208,3,99,05:06.4,NOCODE,Italy,Italy,Part-Time,Italian,Italy,Female,Yes
APPROVED,53:51.3,16:18.0,1346.797,23,294,2,99,18:12.4,61C37BA5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
APPROVED,53:07.7,27:00.5,2032.821,23,155,1,100,37:13.3,61C37BA5,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Female,No
APPROVED,00:56.1,55:27.5,3271.455,54,820,4,100,17:26.6,61C37BA5,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
APPROVED,57:52.1,43:11.0,2718.924,39,346,0,100,48:03.7,61C37BA5,Poland,Poland,Full-Time,Polish,Poland,Male,No
APPROVED,18:37.8,49:06.3,1828.507,38,645,6,99,58:08.5,61C37BA5,Canada,Canada,Full-Time,English,Canada,Male,Yes
APPROVED,36:04.3,53:04.4,4620.123,31,412,1,100,58:11.3,61C37BA5,Poland,Poland,Full-Time,Polish,Poland,Female,No
APPROVED,42:26.0,20:48.0,2301.971,35,608,13,96,58:14.1,61C37BA5,Poland,Poland,Full-Time,Polish,Poland,Female,Yes
RETURNED,25:21.6,,46008354.41,23,45,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,30:05.3,,46008070.78,31,258,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,31:39.8,,46007976.24,26,45,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,32:27.5,,46007928.54,35,236,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,35:12.4,,46007763.6,33,87,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,24:46.2,,46004789.89,39,1498,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,53:08.4,,45959887.64,35,343,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,53:09.5,,45959886.56,65,711,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,27:32.0,,45936224.14,30,547,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,19:27.7,21:52.9,145.22,23,280,3,99,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
