"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"true","fullscreen","0","5320","0.0-0.0","","","","","","","","","","","","","",""
"","html-keyboard-response","1","26395","0.0-1.0","21074.099999997998","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify""><br>After you have watched the video, you will now complete a memory task.<br><br>On each trial, you need to answer three separate questions. The <strong>first question</strong> is <i>'What came after this object?'</i> for the object presented at the top of the screen. This is relative to the sequence of objects you saw in the video. You choose the correct image from the three alternatives  presented to you by pressing <strong>1, 2 or 3</strong> from top of the keyboard.<br>For the <strong>second question</strong>, you need to decide in which type of room the object was in and for the <strong>third question</strong> on which table the object on was irrespective of the room type. Please press the respective numbers which are used to label the room type/postions. <br><br>Press <strong>space</strong> to begin.","32","","","","","","","","","","",""
"","html-keyboard-response","2","28897","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","3","36042","0.0-2.0-1.0","7143.995000005816","<img src= images/stimuli/62.png width = '279.3333333333333' height = '175.68134171907755'><p>What came after this object?</p><img src= images/stimuli/60.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/34.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/82.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","3","62","images/stimuli/82.png","images/stimuli/60.png","images/stimuli/34.png","4","What came after this object?","32","0","across"
"","html-keyboard-response","4","36542","0.0-2.0-2.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","5","41258","0.0-2.0-3.0","4714.559999993071","<img src= images/stimuli/62.png width = '279.3333333333333' height = '175.68134171907755'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><img src= images/stimuli/ww_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><p>Press 1 or 2.</p>","50","roomType","1","","","","","4","","32","",""
"","html-keyboard-response","6","41759","0.0-2.0-4.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","7","48594","0.0-2.0-5.0","6833.589999994729","<img src= images/stimuli/62.png width = '279.3333333333333' height = '175.68134171907755'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><img src= images/stimuli/ww_table.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","3","","","","","4","","","",""
"","html-keyboard-response","8","49095","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","9","54490","0.0-2.0-1.1","5394.57499999844","<img src= images/stimuli/1.png width = '279.3333333333333' height = '175.68134171907755'><p>What came after this object?</p><img src= images/stimuli/50.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/10.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/59.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","3","1","images/stimuli/59.png","images/stimuli/50.png","images/stimuli/10.png","4","What came after this object?","27","1","within-walls"
"","html-keyboard-response","10","54992","0.0-2.0-2.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","11","57146","0.0-2.0-3.1","2152.5499999988824","<img src= images/stimuli/1.png width = '279.3333333333333' height = '175.68134171907755'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><img src= images/stimuli/ww_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><p>Press 1 or 2.</p>","50","roomType","2","","","","","4","","27","",""
"","html-keyboard-response","12","57647","0.0-2.0-4.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","13","58626","0.0-2.0-5.1","978.0949999985751","<img src= images/stimuli/1.png width = '279.3333333333333' height = '175.68134171907755'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><img src= images/stimuli/ww_table.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","2","","","","","4","","","",""
"","html-keyboard-response","14","59127","0.0-2.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","15","67651","0.0-2.0-1.2","8522.864999991725","<img src= images/stimuli/9.png width = '279.3333333333333' height = '175.68134171907755'><p>What came after this object?</p><img src= images/stimuli/13.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/11.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><img src= images/stimuli/78.png width = '279.3333333333333' height = '175.68134171907755' hspace='5'><p>Press 1, 2 or 3.</p>","51","temporalOrder","2","9","images/stimuli/11.png","images/stimuli/13.png","images/stimuli/78.png","4","What came after this object?","42","1","within-no-walls"
"","html-keyboard-response","16","68152","0.0-2.0-2.2","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","17","70346","0.0-2.0-3.2","2193.5499999963213","<img src= images/stimuli/9.png width = '279.3333333333333' height = '175.68134171907755'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><img src= images/stimuli/ww_room.png width = '279.3333333333333' height = '279.3333333333333' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","4","","42","",""
"","html-keyboard-response","18","70847","0.0-2.0-4.2","null","","null","blank","","","","","","","","","",""
