status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
APPROVED,16:18.7,57:52.7,2494.005,28,58,0,100,08:28.9,54FF5A9E,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
RETURNED,11:46.8,,44564558.31,30,194,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,08:49.1,,44564735.96,19,109,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,15:21.9,,44564343.18,20,180,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,19:41.3,,44564083.79,31,198,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,22:03.0,50:43.5,1720.482,21,121,2,98,51:14.7,54FF5A9E,Czech Republic,Czech Republic,Other,Czech,Czech Republic,Male,Yes
RETURNED,22:33.6,,44563911.52,38,366,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,44:08.3,,44562616.86,75,122,6,93,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,51:08.7,30:57.2,2388.503,36,469,6,98,55:54.6,54FF5A9E,Nigeria,United Kingdom,Full-Time,English,United Kingdom,Female,No
APPROVED,54:21.4,34:43.3,2421.855,27,855,1,100,55:55.5,54FF5A9E,United States,United States,Full-Time,English,United States,Female,Yes
RETURNED,56:48.6,,44504256.57,32,250,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,56:21.5,,44504283.65,20,70,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
