session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5df12f89dc853502f00958f3,5c880a528085800016135d86,APPROVED,2019-12-11 18:04:47.947000,2019-12-11 18:37:24.614000,1956.667,21,360,7,97,2019-12-12 07:12:10.381000,54FF5A9E,United States,Poland,Full-Time,English,United States,Male,Yes
5df1e865f6191f0f4c8394de,5d6ba9ef8e5cef00010c1d24,APPROVED,2019-12-12 07:12:42.232000,2019-12-12 07:38:12.965000,1530.733,35,23,3,84,2019-12-12 08:30:10.488000,54FF5A9E,Poland,Poland,Full-Time,Polish,Poland,Male,No
5df1e8664a2ad40f3bf82ccb,5c180a3ac59c17000167491e,RETURNED,2019-12-12 07:22:38.936000,,42778819.268883,33,793,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1e86969a1170f43299284,5d482a21c46fcd0001238721,APPROVED,2019-12-12 07:22:17.808000,2019-12-12 07:52:45.739000,1827.931,25,163,1,100,2019-12-12 08:29:52.348000,54FF5A9E,Poland,Poland,Due to start a new job within the next month,Polish,Poland,Male,No
5df1e86a2e47250f730bfa6a,5ccff7a28c978d00177c5a71,APPROVED,2019-12-12 07:14:03.592000,2019-12-12 08:15:46.274000,3702.682,36,205,0,100,2019-12-12 08:29:51.210000,54FF5A9E,Philippines,Korea,"Not in paid work (e.g. homemaker', 'retired or disabled)",Tagalog-Filipino,Philippines,Female,No
5df1e86b451be50faeca300c,5c612e1a6467ac0001b8122d,RETURNED,2019-12-12 07:13:03.880000,,42779394.346914,35,404,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1e86b8d257b0e930ef2de,5dd73b61fd5b286e7f4abbdd,RETURNED,2019-12-12 07:22:43.558000,,42778814.668989,27,55,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1e86d76c03b0fcbec527d,5de81d685a8f94795b893d45,APPROVED,2019-12-12 07:12:45.767000,2019-12-12 08:19:19.831000,3994.064,37,791,0,100,2019-12-12 08:29:49.902000,54FF5A9E,United States,United States,Full-Time,English,United States,Male,No
5df1e86e2fc4780eac674833,5d421d8c711c8c0016afbfa6,RETURNED,2019-12-12 07:12:45.985000,,42779412.250077,31,138,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df1e86e4c81b20e52c4d7b3,542c323bfdf99b324ea3808d,APPROVED,2019-12-12 07:12:51.302000,2019-12-12 07:34:24.732000,1293.43,48,1088,9,99,2019-12-12 08:29:43.242000,54FF5A9E,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
