status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
APPROVED,54:25.7,43:48.0,2962.293,23,74,0,100,49:13.6,54FF5A9E,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Male,Yes
APPROVED,55:14.3,45:16.3,3002.046,21,207,0,100,53:34.4,54FF5A9E,Brazil,Portugal,Full-Time,Portuguese,Brazil,Female,Yes
APPROVED,54:36.9,48:57.4,3260.457,24,394,6,98,50:12.9,54FF5A9E,United States,United States,Other,English,United States,Female,Yes
RETURNED,54:35.0,,28154766.37,25,83,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,53:59.0,24:22.6,1823.646,30,79,2,99,59:29.3,54FF5A9E,Israel,Israel,Unemployed (and job seeking),Hebrew,Israel,Female,Yes
APPROVED,00:13.9,34:21.4,2047.496,22,487,5,99,47:31.3,54FF5A9E,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
APPROVED,54:13.0,23:34.8,1761.81,,92,3,93,47:24.8,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes
APPROVED,58:51.2,38:56.2,2405.031,36,282,1,100,47:23.9,54FF5A9E,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,Poland,Female,No
RETURNED,53:59.6,,28154801.8,23,68,3,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,59:54.1,10:25.7,631.581,22,126,8,89,10:58.8,NOCODE,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,Yes
APPROVED,53:59.5,34:17.9,2418.423,20,97,0,100,47:26.7,54FF5A9E,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
APPROVED,54:00.3,34:54.4,2454.089,31,31,0,100,47:23.2,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
APPROVED,55:01.3,25:22.8,1821.465,24,392,4,99,47:22.1,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
APPROVED,56:22.2,39:44.7,2602.54,57,74,1,98,47:20.6,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
REJECTED,50:35.8,09:38.6,1142.821,20,85,8,89,21:21.0,54FF5A9E,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
APPROVED,24:15.3,54:22.4,1807.089,36,515,0,100,55:37.0,54FF5A9E,United States,Portugal,Full-Time,Portuguese,United States,Male,No
RETURNED,55:57.3,,28147484.12,20,126,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,55:58.3,32:55.7,2217.404,26,80,1,100,37:16.9,54FF5A9E,Poland,Poland,Full-Time,Polish,Poland,Male,No
RETURNED,58:25.5,,28147335.94,24,207,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
RETURNED,06:00.4,,28146881.06,38,3134,9,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
REJECTED,56:45.5,27:03.5,1817.955,23,412,2,100,28:04.2,54FF5A9E,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,No
RETURNED,58:18.3,,28147343.15,25,283,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,05:13.8,33:18.9,1685.19,19,183,1,100,36:47.7,54FF5A9E,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,Yes
RETURNED,01:22.7,,28147158.78,21,256,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,05:38.1,48:09.5,2551.381,,23,0,100,23:45.3,54FF5A9E,Bulgaria,United Kingdom,Full-Time,Bulgarian,Bulgaria,Male,Yes
REJECTED,28:05.4,09:07.0,2461.559,64,347,4,99,36:15.5,54FF5A9E,Greece,Greece,Full-Time,English,Greece,Male,No
RETURNED,42:51.6,,28141069.88,28,1139,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,44:06.3,10:10.3,1564.059,21,160,1,100,15:03.5,54FF5A9E,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
RETURNED,41:13.2,,28141168.35,31,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,43:15.4,15:04.2,1908.85,21,134,0,100,15:05.4,Manual Completion,Poland,Poland,Other,Polish,Poland,Male,Yes
APPROVED,46:25.7,15:05.0,1719.285,25,122,1,100,15:06.1,Manual Completion,Portugal,Portugal,Full-Time,English,Portugal,Male,Yes
