status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country.of.Birth,Current.Country.of.Residence,Employment.Status,First.Language,Nationality,Sex,Student.Status
APPROVED,2021-01-27 18:47:58.374000,2021-01-27 19:10:31.314000,1352.94,25,48,0,100,2021-01-27 19:11:16.341000,54FF5A9E,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
APPROVED,2021-01-27 19:13:32.417000,2021-01-27 19:43:55.852000,1823.435,19,37,0,100,2021-01-27 19:44:13.472000,54FF5A9E,Poland,Poland,Unemployed (and job seeking),,Poland,Female,Yes
APPROVED,2021-01-27 19:13:41.252000,2021-01-27 19:38:12.901000,1471.649,23,85,0,100,2021-01-27 19:39:37.923000,54FF5A9E,Italy,Italy,Unemployed (and job seeking),DATA EXPIRED,Italy,Female,Yes
APPROVED,2021-01-27 19:24:18.617000,2021-01-27 19:55:49.847000,1891.23,24,247,1,100,2021-01-27 20:01:18.801000,54FF5A9E,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Male,Yes
APPROVED,2021-01-27 19:38:25.647000,2021-01-27 20:00:29.516000,1323.869,31,214,4,96,2021-01-27 20:01:19.734000,54FF5A9E,Latvia,United Kingdom,Full-Time,Finnish,Finland,Female,No
APPROVED,2021-01-27 19:44:14.179000,2021-01-27 20:08:15.572000,1441.393,18,162,0,100,2021-01-27 20:09:13.950000,54FF5A9E,United Kingdom,United Kingdom,Other,DATA EXPIRED,United Kingdom,Male,Yes
RETURNED,2021-01-27 19:44:14.650000,2021-01-27 20:14:42.922000,1828.272,49,142,0,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,2021-01-27 19:43:30.457000,2021-01-27 20:22:14.823000,2324.366,21,111,0,100,2021-01-27 20:23:52.962000,NOCODE,Poland,Poland,Other,Polish,Poland,Male,Yes
APPROVED,2021-01-27 19:43:57.171000,2021-01-27 20:05:05.630000,1268.459,29,103,0,100,2021-01-27 20:09:15.396000,54FF5A9E,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,United Kingdom,Female,No
APPROVED,2021-01-27 20:24:54.880000,2021-01-27 21:03:34.444000,2319.564,20,203,4,98,2021-01-27 21:03:47.618000,54FF5A9E,Italy,Italy,Part-Time,Italian,Italy,Male,Yes
APPROVED,2021-01-27 20:24:54.562000,2021-01-27 20:52:35.012000,1660.45,20,35,2,93,2021-01-27 20:52:48.815000,54FF5A9E,Poland,Poland,Not in paid work (e.g. homemaker', 'retired or disabled),Polish,Poland,Female,Yes
APPROVED,2021-01-27 20:24:57.063000,2021-01-27 21:44:44.940000,4787.877,26,70,0,100,2021-01-27 21:47:06.545000,54FF5A9E,Portugal,Portugal,Full-Time,DATA EXPIRED,Portugal,Male,No
APPROVED,2021-01-27 21:12:16.737000,2021-01-27 21:42:26.340000,1809.603,25,125,0,100,2021-01-27 21:47:07.026000,54FF5A9E,Poland,Poland,Full-Time,Polish,Poland,Female,No
APPROVED,2021-01-28 08:12:40.093000,2021-01-28 08:43:31.642000,1851.549,55,102,0,100,2021-01-28 08:48:19.727000,54FF5A9E,Spain,Spain,Full-Time,DATA EXPIRED,Spain,Female,No
APPROVED,2021-01-28 08:10:27.352000,2021-01-28 09:14:59.691000,3872.339,33,184,0,100,2021-01-28 09:18:39.267000,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
APPROVED,2021-01-28 08:16:01.599000,2021-01-28 08:43:53.212000,1671.613,59,537,3,100,2021-01-28 08:48:20.438000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
APPROVED,2021-01-28 08:10:31.870000,2021-01-28 08:53:40.334000,2588.464,23,62,0,100,2021-01-28 09:05:01.594000,54FF5A9E,Poland,Poland,Part-Time,DATA EXPIRED,Poland,Male,Yes
APPROVED,2021-01-28 08:11:42.206000,2021-01-28 08:57:11.439000,2729.233,19,149,0,100,2021-01-28 09:05:02.909000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,United Kingdom,Female,No
APPROVED,2021-01-28 08:13:54.428000,2021-01-28 08:40:49.642000,1615.214,NA,260,3,99,2021-01-28 08:48:21.688000,54FF5A9E,United Kingdom,Ireland,Full-Time,Kurdish,United Kingdom,Male,No
APPROVED,2021-01-28 08:17:07.524000,2021-01-28 08:46:52.905000,1785.381,25,368,0,100,2021-01-28 08:48:22.896000,54FF5A9E,Poland,Poland,Full-Time,Polish,Poland,Male,No
APPROVED,2021-01-28 09:11:10.270000,2021-01-28 09:34:58.119000,1427.849,24,94,1,100,2021-01-28 09:39:43.542000,54FF5A9E,Finland,Poland,Unemployed (and job seeking),Finnish,Finland,Male,Yes
APPROVED,2021-01-28 09:11:11.104000,2021-01-28 09:54:14.163000,2583.059,52,114,0,100,2021-01-28 10:01:38.381000,54FF5A9E,France,France,Unemployed (and job seeking),DATA EXPIRED,France,Female,No
APPROVED,2021-01-28 09:11:12.370000,2021-01-28 09:35:04.002000,1431.632,NA,222,0,100,2021-01-28 09:39:46.748000,54FF5A9E,Greece,Greece,Part-Time,Greek,Greece,Male,Yes
APPROVED,2021-01-28 09:11:14.660000,2021-01-28 09:56:56.580000,2741.92,23,135,0,100,2021-01-28 10:01:37.401000,54FF5A9E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
APPROVED,2021-01-28 09:14:50.530000,2021-01-28 09:41:44.068000,1613.538,28,1119,1,100,2021-01-28 10:01:39.468000,54FF5A9E,United States,United States,Full-Time,English,United States,Female,Yes
APPROVED,2021-01-28 09:24:25.352000,2021-01-28 09:48:29.368000,1444.016,30,49,2,99,2021-01-28 10:13:32.701000,54FF5A9E,Poland,Poland,Full-Time,DATA EXPIRED,Poland,Male,No
APPROVED,2021-01-29 14:41:01.295000,2021-01-29 15:17:41.697000,2200.402,24,606,0,100,2021-01-29 15:34:04.128000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
APPROVED,2021-01-29 14:41:07.125000,2021-01-29 15:12:14.012000,1866.887,54,433,9,97,2021-01-29 15:34:04.727000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
APPROVED,2021-01-29 14:41:03.386000,2021-01-29 15:12:17.765000,1874.379,32,539,1,100,2021-01-29 15:34:05.659000,54FF5A9E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
