group	id	within	across
Group 1	1	0.454545455	0.431818182
Group 1	2	0.636363636	0.5
Group 1	3	0.318181818	0.431818182
Group 1	4	0.386363636	0.363636364
Group 1	5	0.590909091	0.363636364
Group 1	6	0.545454545	0.340909091
Group 1	7	0.431818182	0.340909091
Group 1	8	0.568181818	0.431818182
Group 1	9	0.727272727	0.318181818
Group 1	10	0.295454545	0.340909091
Group 1	11	0.795454545	0.681818182
Group 1	12	0.568181818	0.545454545
Group 1	13	0.318181818	0.409090909
Group 1	14	0.659090909	0.522727273
Group 1	15	0.75	0.431818182
Group 1	16	0.477272727	0.477272727
Group 1	17	0.318181818	0.295454545
Group 1	18	0.522727273	0.363636364
Group 1	19	0.613636364	0.522727273
Group 1	20	0.409090909	0.340909091
Group 2	21	0.522727273	0.318181818
Group 2	22	0.25	0.431818182
Group 2	23	0.272727273	0.340909091
Group 2	24	0.295454545	0.340909091
Group 2	25	0.590909091	0.295454545
Group 2	26	0.363636364	0.386363636
Group 2	27	0.318181818	0.340909091
Group 2	28	0.363636364	0.340909091
Group 2	29	0.318181818	0.318181818
Group 2	30	0.5	0.386363636
Group 2	31	0.863636364	0.886363636
Group 2	32	0.409090909	0.318181818
Group 2	33	0.568181818	0.409090909
Group 2	34	0.295454545	0.295454545
Group 2	35	0.454545455	0.340909091
Group 2	36	0.409090909	0.363636364
Group 2	37	0.431818182	0.318181818
Group 2	38	0.318181818	0.340909091
Group 2	39	0.318181818	0.363636364
Group 2	40	0.5	0.5
