id	ord	after-Within-context	after-Across-context	before-Within-context	before-Across-context
1	1	0.55	0.45	0.5	0.3
2	2	0.6	0.6	0.25	0.35
3	2	0.4	0.3	0.25	0.45
4	2	0.75	0.4	0.6	0.5
5	2	0.55	0.5	0.5	0.45
6	2	0.45	0.25	0.35	0.45
7	1	0.45	0.65	0.6	0.2
8	2	0.55	0.4	0.85	0.85
9	2	0.65	0.8	0.9	0.75
10	1	0.4	0.55	0.45	0.4
11	2	0.55	0.15	0.55	0.3
12	2	0.35	0.3	0.5	0.2
13	1	0.2	0.3	0.5	0.35
14	1	0.5	0.5	0.5	0.25
15	1	0.45	0.3	0.15	0.35
16	2	0.3	0.25	0.2	0.5
17	2	0.3	0.35	0.45	0.4
18	2	0.3	0.4	0.3	0.45
19	1	0.4	0.2	0.45	0.55
20	1	0.85	0.8	0.2	0.55
21	1	0.45	0.55	0.4	0.3
22	2	0.45	0.35	0.7	0.5
23	2	0.35	0.15	0.2	0.2
24	1	0.5	0.25	0.2	0.3
25	2	0.45	0.3	0.3	0.45
26	2	0.25	0.3	0.1	0.3
27	1	0.9	0.6	0.55	0.5
28	1	0.45	0.35	0.85	0.6
29	2	0.55	0.35	0.7	0.3
30	1	0.7	0.7	0.55	0.4
31	1	0.3	0.45	0.3	0.35
32	1	0.35	0.3	0.5	0.2
33	2	0.25	0.15	0.35	0.35
34	1	0.4	0.35	0.8	0.85
35	2	0.1	0.05	0.4	0.35
36	1	0.35	0.2	0.45	0.3
