"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"547411","<p>Thank you for participating in this experiment.</p><p>At first, you will watch a video, in which you see a series of objects in a series of rooms.</p><p>Try to remember that sequence and try to remember the rooms an object was in. </p><p>To start the experiment, please watch the following video: <a href='https://youtu.be/PKNqyqvctJg' target='_blank'>https://youtu.be/PKNqyqvctJg</a><p>Please enable the full screen mode while watching the video and use the highest resolution.</p><p>Press <strong>space</strong> to continue after watching the video.</p>","32","html-keyboard-response","0","547413","0.0-0.0","","","",""
"","","","fullscreen","1","555024","0.0-1.0","true","","",""
"22515","<p>After you have watched the video, you will now complete a memory task.</p><br><br><p>On each trial, you need to answer two questions. For both questions you have to</p><p>to choose the correct image from three alternatives by pressing 1, 2 or 3 from top of the keyboard.</p><p>For the first question, you need to decide which object was either before or after the object presented</p><p>at the top. This is relative to the sequence of objects you saw in the video. For the second question, </p><p>you need to decide in which room the object was. In order to do this, you need to base</p><p>this on the <strong>wall colour</strong> and the <strong>carpet</strong>.</p><br><p>Press <strong>space</strong> to begin.</p>","32","html-keyboard-response","2","577540","0.0-2.0","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","580043","0.0-3.0-0.0","","fixation","",""
"10846","<img src= stimuli/temporalOrder/79.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/51.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/75.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/34.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","4","590891","0.0-3.0-1.0","","temporalOrder","1","79"
"null","","null","html-keyboard-response","5","591394","0.0-3.0-2.0","","blank","",""
"8829","<img src= stimuli/temporalOrder/79.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/17.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/30.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/20.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","6","600225","0.0-3.0-3.0","","contextMemory","3","79"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","600727","0.0-3.0-0.1","","fixation","",""
"11396","<img src= stimuli/temporalOrder/86.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/46.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/72.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/66.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","8","612124","0.0-3.0-1.1","","temporalOrder","2","86"
"null","","null","html-keyboard-response","9","612627","0.0-3.0-2.1","","blank","",""
